tier,name,category,city,device_signal,rating,review_count,revenue,employees,domain,website,linkedin,phone,apollo_id,source
A,Anu Medical Spa,med spa,"Voorhees, NJ",Secret RF; microneedling w/ Salmon DNA; Laser Genesis; Pico Genesis; Excel V; IPL (Clay-verified from site),,,5M-10M,24,anumedicalspa.com,http://www.anumedicalspa.com,http://www.linkedin.com/company/anu-medical-spa,+1 856-809-0909,66f04f49db74ef0001cc0928,places_batch1
A,BBKR Aesthetics,med spa,Philadelphia area,microneedling,,,,,,,,,,places_batch1
A,Body+Beauty Lab,med spa,"Philadelphia + Wayne, PA",microneedling; Sculptra (review intel; no devices on site),,,1M-5M,21,,,,,,places_batch1
A,Bryn Mawr Dermatology,dermatology,"Villanova, PA (4 locations)",Rejuvapen microneedling pen; Morpheus8; MultiFrax; CO2 laser (Clay-verified from site),,,10.2M,38,,,,,,places_batch2
A,Bucky Plastic Surgery,plastic surgery,"Philadelphia, PA (3 locations)",Morpheus8; EndyMed Intensif RF microneedling; Moxi; EmpowerRF; FaceTite (Clay-verified from site),,,5M-10M,25,drbucky.com,http://www.drbucky.com,http://www.linkedin.com/company/philadelphia-plastic-surgery-louis-p-bucky-md-facs,+1 215-402-7283,54a1a68b74686942d317d204,places_batch3
A,Cross Medical Group,plastic surgery,"Philadelphia, PA",SkinPen (Clay-verified from site); Sciton HALO/MOXI/BBL (reviews),,,500K-1M,,,,,,,places_batch3
A,DaVinci Med Spa,med spa,Philadelphia area,Vivace RF microneedling,,,,,,,,,,places_batch1
A,DripNeedle,med spa,Philadelphia area,microneedling,,,,,,,,,,places_batch1
A,Forever Young Medical Spa,med spa,"Princeton, NJ",microneedling,,,,,,,,,,places_batch1
A,Hazel & Honey Aesthetics,med spa,Philadelphia area,microneedling,,,,,,,,,,places_batch1
A,Joli Med Spa,med spa,Philadelphia area,microneedling,,,,,,,,,,places_batch1
A,Lily & Oak Aesthetics,med spa,Philadelphia area,microneedling; Moxi,,,,,,,,,,places_batch1
A,Novique Medical Aesthetics,med spa,"Doylestown, PA",microneedling (review intel; no devices on site),,,10M-25M,,novique.com,http://www.novique.com,http://www.linkedin.com/company/novique-medical-aesthetics,+1 267-899-5020,672471d8ab548400010e66a6,places_batch1
A,RW Dermatology,dermatology,"Furlong, PA",Moxi + BBL laser stack (review intel; not on site),,,500K-1M,,,,,,,places_batch2
A,Ringpfeil Advanced Dermatology,dermatology,"Haverford, PA",Infini RF microneedling; PicoSure; AviClear; MiraDry (Clay-verified from site),,,6.0M,44,,,,,,places_batch2
A,Sciara Cosmetic Dermatology,dermatology,Philadelphia area,Thermage; V-Beam,,,,,,,,,,places_batch2
A,South Jersey Skin Care & Laser Center,dermatology,"Mount Laurel, NJ",Secret RF (Secret DUO); Vivace; EdgeONE CO2; Pearl; Laser Genesis; IPL (Clay-verified from site),,,5.4M,16,,,,,,places_batch2
A,Yofi Med Spa,med spa,Philadelphia area,microneedling,,,,,,,,,,places_batch1
B,Buinewicz Plastic Surgery & Spa,plastic surgery,"Doylestown, PA",CO2 laser,,,,,buinewiczplasticsurgery.com,http://www.buinewiczplasticsurgery.com,http://www.linkedin.com/company/buinewicz-plastic-surgery-&-spa,+1 215-647-9668,63d0d91952c4890001957d47,apollo_orgs_2.json
B,Hazen Plastic Surgery and Medical Spa,plastic surgery,"Princeton, NJ",Emsculpt; Hydrafacial; full aesthetic operation,,,,,hazenplasticsurgery.com,http://www.hazenplasticsurgery.com,http://www.linkedin.com/company/hazenplasticsurgeryandaesthetics,+1 609-921-7747,5d0a1cdea3ae61be4e0f8151,apollo_orgs_1.json
B,Lux Med Spa,med spa,Philadelphia area,CoolPeel,,,,,,,,,,places_batch1
B,Medspa 1722,med spa,"Philadelphia, PA",Moxi,,,,,,,,,,places_batch1
B,The Skin Retreat,med spa,Philadelphia area,Sofwave,,,,,,,,,,places_batch1
C,"ALTA DERMATOLOGY & SKIN CARE CENTER, LLC",,,,,,,,altaskincenter.com,http://www.altaskincenter.com,http://www.linkedin.com/company/alta-dermatology-&-skin-care-center-llc,+1 856-344-2849,671492f640f40d0001b5a85c,apollo_orgs_3.json
C,Abel Aesthetics,,,,,,,,abelaesthetics.com,http://www.abelaesthetics.com,http://www.linkedin.com/company/abel-aesthetics,+1 302-576-1110,6730e0369c24470001e2125b,apollo_orgs_3.json
C,Abington Aesthetic,,,,,,,,abingtonaesthetic.com,http://www.abingtonaesthetic.com,http://www.linkedin.com/company/abington-aesthetic,+1 215-366-1122,54a129b769702d9b8bf1c901,apollo_orgs_2.json
C,About Face Aesthetics (Philadelphia),,,,,,,,aboutfaceskincare.com,http://www.aboutfaceskincare.com,http://www.linkedin.com/company/about-face-skin-care-philadelphia,+1 215-923-5001,54fca4bb7369647e1d672900,apollo_orgs_1.json
C,Advanced Dermatology Associates LTD,,,,,,,,,,http://www.linkedin.com/company/advanced-dermatology-associates-ltd,+1 610-437-4134,5f4848cc8f766600019d6e9c,apollo_orgs_1.json
C,"Aesthetic Plastic Surgery of Delaware, PA",,,,,,,,facesandfigures.com,http://www.facesandfigures.com,http://www.linkedin.com/company/aesthetic-plastic-surgery-of-delaware-pa,+1 302-656-0214,55f720bbf3e5bb1977021bb6,apollo_orgs_1.json
C,Aesthetics-Exchange Inc.,,,,,,,,aeon-ex.com,http://www.aeon-ex.com,http://www.linkedin.com/company/aesthetics-exchange-inc,09120234-567,69556aed8b95de00191f3c82,apollo_orgs_1.json
C,Allure Aesthetics,,,,,,,,allureaestheticsllc.com,http://www.allureaestheticsllc.com,http://www.linkedin.com/company/allureaesthetics,+1 610-393-1253,615e8b3fec93980001981242,apollo_orgs_1.json
C,Amazing Skin Laser & Aesthetics,,,,,,,,getamazingskincare.com,http://www.getamazingskincare.com,http://www.linkedin.com/company/amazing-skin-laser-&-aesthetics,+1 610-297-6249,59bbac7da6da98b6c3e31def,apollo_orgs_3.json
C,American Aesthetic Association,,,,,,,,ameriaa.com,http://www.ameriaa.com,http://www.linkedin.com/company/american-aesthetic-association,+1 609-631-8228,5ed91fd92fa8840001e0a1e8,apollo_orgs_1.json
C,Anllo Center for Aesthetics,,,,,,,,anllocenterforaesthetics.com,http://www.anllocenterforaesthetics.com,http://www.linkedin.com/company/anllo-center-for-aesthetics,+1 610-351-6605,67246b1a3ecde200015fbc71,apollo_orgs_3.json
C,Anllo Center for Aesthetics and Wellness,,,,,,,,anllocenter.com,http://www.anllocenter.com,http://www.linkedin.com/company/anllo-center-for-aesthetics-and-wellness,+1 610-351-6605,69e2f8364c517c000148cafb,apollo_orgs_3.json
C,Ari Blanc Medical Spa,,,,,,,,ariblancmedicalspa.com,http://www.ariblancmedicalspa.com,http://www.linkedin.com/company/ari-blanc-medical-spa,+1 267-687-7436,636dbad0645bda00e92a167c,apollo_orgs_1.json
C,Avellina Aesthetics,,,,,,,,avellinaaesthetics.com,http://www.avellinaaesthetics.com,http://www.linkedin.com/company/avellina-aesthetics,+1 215-722-6022,65a7aa3e91876e0001729e5b,apollo_orgs_3.json
C,BURKE DERMATOLOGY,,,,,,,,burkedermatology.com,http://www.burkedermatology.com,http://www.linkedin.com/company/burke-dermatology,+1 302-734-3376,66f821ee953cb40001f405e9,apollo_orgs_1.json
C,Be Truly Well Integrative Health Center & Med Spa,,,,,,,,betrulywell.com,http://www.betrulywell.com,http://www.linkedin.com/company/be-truly-well-chiropractic-&-day-spa,+1 302-525-4343,5d098a80a3ae610c7ee6941a,apollo_orgs_1.json
C,Beauty Marx Aesthetic MedSpa,,,,,,,,beautymarxmed.com,http://www.beautymarxmed.com,http://www.linkedin.com/company/beauty-marx-aesthetic-medspa,+1 215-422-3690,57c4ef7aa6da986ac7437dde,apollo_orgs_1.json
C,Benedetto Dermatology and Dermatologic SurgiCenter,,,,,,,,,,http://www.linkedin.com/company/benedetto-dermatology-and-dermatologic-surgicenter,,671097e76bbffd000168741d,apollo_orgs_3.json
C,Bloom Facial Plastic Surgery,,,,,,,,bloomfacialplastics.com,http://www.bloomfacialplastics.com,http://www.linkedin.com/company/bloom-facial-plastic-surgery,+1 610-854-8676,60af8c8d1794f500010c4e24,apollo_orgs_1.json
C,Celebrity Skin Aesthetics,,,,,,,,celebrityskinaesthetics.co.uk,http://www.celebrityskinaesthetics.co.uk,http://www.linkedin.com/company/celebrity-skin-aesthetics,,6703b3a44804410001ec5cd7,apollo_orgs_3.json
C,Chapin Aesthetics,,,,,,,,drchapin.com,http://www.drchapin.com,http://www.linkedin.com/company/chapin-aesthetics,+1 267-880-0810,54a11d0769702d77c243f800,apollo_orgs_1.json
C,Chung & Jan Aesthetic Surgery Associates,,,,,,,,asasurgery.com,http://www.asasurgery.com,http://www.linkedin.com/company/asasurgery,+1 610-437-2378,6049e1e08a74120001763092,apollo_orgs_1.json
C,Cloud 17 Med Spa,,,,,,,,cloud17medspa.com,http://www.cloud17medspa.com,http://www.linkedin.com/company/cloud-17-med-spa,+1 610-686-7200,67287fb6ed6bc20001942f2a,apollo_orgs_3.json
